sep=,
"Time","active_db_connections saturation","cpu saturation","disk_space saturation","memory saturation","open_fds saturation","open_ruby_fds saturation","redis_clients saturation","single_node_cpu saturation","single_threaded_cpu saturation"
2022-12-28 21:45:00,0.182,0.455,0.585,0.756,0.00120,0.00308,0.00820,0.455,0.0283
2022-12-28 22:00:00,0.167,0.429,0.587,0.754,0.00120,0.00312,0.00760,0.429,0.0232
2022-12-28 22:15:00,0.182,0.419,0.589,0.755,0.00127,0.00302,0.00750,0.419,0.0182
2022-12-28 22:30:00,0.200,0.421,0.591,0.759,0.00120,0.00312,0.00810,0.421,0.0170
2022-12-28 22:45:00,0.182,0.423,0.594,0.766,0.00120,0.00310,0.00810,0.423,0.0155
2022-12-28 23:00:00,0.167,0.482,0.596,0.765,0.00120,0.00308,0.00740,0.482,0.0205
2022-12-28 23:15:00,0.182,0.545,0.598,0.768,0.00120,0.00312,0.00810,0.545,0.0212
2022-12-28 23:30:00,0.167,0.406,0.600,0.762,0.00120,0.00314,0.00740,0.406,0.0142
2022-12-28 23:45:00,0.214,0.440,0.602,0.760,0.00120,0.00290,0.00720,0.440,0.0321
2022-12-29 00:00:00,0.200,0.629,0.603,0.762,0.00120,0.00308,0.00770,0.629,0.0232
2022-12-29 00:15:00,0.214,0.424,0.599,0.759,0.00120,0.00316,0.00800,0.424,0.0263
2022-12-29 00:30:00,0.188,0.471,0.600,0.759,0.00120,0.00310,0.00830,0.471,0.0289
2022-12-29 00:45:00,0.250,0.431,0.603,0.738,0.00120,0.00304,0.00740,0.431,0.0204
2022-12-29 01:00:00,0.200,0.558,0.605,0.744,0.00120,0.00310,0.00810,0.558,0.0209
2022-12-29 01:15:00,0.182,0.518,0.538,0.736,0.00120,0.00316,0.00790,0.518,0.0227
2022-12-29 01:30:00,0.182,0.524,0.539,0.743,0.00120,0.00310,0.00800,0.524,0.0191
2022-12-29 01:45:00,0.200,0.433,0.541,0.737,0.00120,0.00310,0.00820,0.433,0.0154
2022-12-29 02:00:00,0.182,0.450,0.543,0.741,0.00120,0.00310,0.00840,0.450,0.0221
2022-12-29 02:15:00,0.200,0.467,0.544,0.742,0.00120,0.00320,0.00730,0.467,0.0294
2022-12-29 02:30:00,0.182,0.501,0.546,0.750,0.00133,0.00314,0.00780,0.501,0.0180
2022-12-29 02:45:00,0.214,0.433,0.549,0.742,0.00120,0.00308,0.00770,0.433,0.0118
2022-12-29 03:00:00,0.167,0.436,0.551,0.744,0.00120,0.00296,0.00740,0.436,0.0131
2022-12-29 03:15:00,0.200,0.440,0.554,0.751,0.00120,0.00306,0.00720,0.440,0.0185
2022-12-29 03:30:00,0.273,0.567,0.556,0.752,0.00127,0.00316,0.00800,0.567,0.0247
2022-12-29 03:45:00,0.154,0.441,0.557,0.751,0.00120,0.00308,0.00790,0.441,0.0249
2022-12-29 04:00:00,0.154,0.450,0.559,0.751,0.00120,0.00306,0.00750,0.450,0.0245
2022-12-29 04:15:00,0.182,0.478,0.560,0.750,0.00120,0.00310,0.00810,0.478,0.0342
2022-12-29 04:30:00,0.182,0.567,0.562,0.758,0.00133,0.00310,0.00740,0.567,0.0370
2022-12-29 04:45:00,0.167,0.492,0.564,0.760,0.00120,0.00310,0.00780,0.492,0.0386
2022-12-29 05:00:00,0.273,0.447,0.566,0.763,0.00120,0.00312,0.00760,0.447,0.0203
2022-12-29 05:15:00,0.300,0.435,0.566,0.762,0.00120,0.00314,0.00760,0.435,0.0123
2022-12-29 05:30:00,0.182,0.470,0.568,0.753,0.00120,0.00302,0.00730,0.470,0.0117
2022-12-29 05:45:00,0.200,0.437,0.571,0.755,0.00120,0.00310,0.00830,0.437,0.0106
2022-12-29 06:00:00,0.182,0.437,0.574,0.751,0.00120,0.00312,0.00750,0.437,0.0107
2022-12-29 06:15:00,0.0909,0.434,0.577,0.753,0.00120,0.00316,0.00850,0.434,0.0105
2022-12-29 06:30:00,0.250,0.437,0.579,0.757,0.00120,0.00308,0.00720,0.437,0.0108
2022-12-29 06:45:00,0.250,0.433,0.582,0.755,0.00120,0.00310,0.00840,0.433,0.0105
2022-12-29 07:00:00,0.214,0.441,0.585,0.755,0.00120,0.00310,0.00830,0.441,0.0106
2022-12-29 07:15:00,0.200,0.438,0.587,0.758,0.00120,0.00306,0.00750,0.438,0.0107
2022-12-29 07:30:00,0.176,0.444,0.589,0.753,0.00120,0.00312,0.00830,0.444,0.0107
2022-12-29 07:45:00,0.273,0.436,0.589,0.758,0.00120,0.00310,0.00820,0.436,0.0105
2022-12-29 08:00:00,0.250,0.443,0.591,0.759,0.00120,0.00310,0.00770,0.443,0.0103
