source,cpu,mem,lat
u: Hyunk3l,0.4269950174011677,0.7647899611959577,0.028621606397621253
u: IanDavey,0.42542106215822734,0.7647145162487966,0.028554865107054187
u: Immortalin,0.4313710126694727,0.7667324204425077,0.028924504583527647
u: Ins87,0.42594400408541955,0.7643931728779971,0.028625042849208523
u: IonicaBizau,0.5284722214268238,0.7319059997013074,0.0424867084664425
u: Iorda,0.4354761794453896,0.7640293093419895,0.02914763847150473
u: J261,0.4395563155949575,0.7610210566308807,0.02977593388850905
u: JDevlieghere,0.4253136083365413,0.7651211842443174,0.028528093055743983
u: Jakubsamurai,0.43218348613975616,0.7643814526805405,0.028971683500914846
u: James-Parsons,0.42789486034604984,0.7643397467926444,0.02868520604278613
u: JanVanRyswyck,0.43000695381883525,0.7635634631955104,0.028921541921766117
u: Jasharin,0.42776484459720526,0.7632576278537329,0.02892515259741049
u: JaspervDalen,0.4175371717439014,0.7681461533959096,0.028351520527339216
u: JensDebergh,0.42548175329747495,0.7637143857212895,0.028551632527668087
u: Jermorin,0.42644679054088624,0.7639243995536222,0.02859442658580788
u: JigyasaCodes,0.4299306055783189,0.765508278115331,0.028925580819290222
u: Joe-noh,0.43687428529158034,0.7605367170923274,0.02967192394843481
u: JoelESvensson,0.4331793112053184,0.7642530228442919,0.03132100691523168
u: JohnDDuncanIII,0.4332256618341061,0.7635834885385815,0.029111306238717227
u: Joss-Steward,0.45461400469438384,0.7536846457810891,0.030321266429026494
u: JoungSik,0.43043646106890987,0.7637590817945088,0.02885224027911113
u: Juniar-Rakhman,0.4293909513898377,0.7646930753304323,0.02883299369738215
u: K007,0.42307056406308036,0.7644695909522978,0.02873511859634119
u: KL44S,0.4464616530876773,0.756621601220984,0.03270109771399859
u: KamilMalek,0.4240178045048254,0.7630705409830562,0.028673371606354348
u: Karagines,0.5339074074074082,0.729088522613193,0.044181239219106355
u: Karm,0.4318679895611688,0.7655936865867631,0.02921608343014156
u: Kauabunga,0.5542095766937116,0.7346307614418993,0.044440559475996365
u: KernelPone,0.42583263251615966,0.7633569267660825,0.02912034275873923
u: KittyKate,0.429048524985135,0.7642121248685256,0.02884155078302966
u: KokaKiwi,0.43144258139535985,0.7647538006543583,0.028878930138801006
u: LarryBrid,0.45443452380952337,0.7281468300080862,0.04189914930529049
